INSTANCE;SEMILLA;Z;TIME
A173-P130-R5-B8-L5-T14-C0.1;8355;134;5
A173-P130-R5-B8-L5-T14-C0.1;3717;134;6
A173-P130-R5-B8-L5-T14-C0.1;5877;134;5
A173-P130-R5-B8-L5-T14-C0.1;2829;134;5
A173-P130-R5-B8-L5-T14-C0.1;2339;134;5
A173-P130-R5-B8-L5-T14-C0.1;9845;134;8
A173-P130-R5-B8-L5-T14-C0.1;233;134;5
A173-P130-R5-B8-L5-T14-C0.1;4263;134;5
A173-P130-R5-B8-L5-T14-C0.1;2618;134;4
A173-P130-R5-B8-L5-T14-C0.1;9965;134;6
A173-P130-R5-B8-L5-T14-C0.1;1624;134;7
A173-P130-R5-B8-L5-T14-C0.1;5707;134;5
A173-P130-R5-B8-L5-T14-C0.1;2842;134;5
A173-P130-R5-B8-L5-T14-C0.1;130;134;5
A173-P130-R5-B8-L5-T14-C0.1;252;134;6
A173-P130-R5-B8-L5-T14-C0.1;9914;134;4
A173-P130-R5-B8-L5-T14-C0.1;8323;134;4
A173-P130-R5-B8-L5-T14-C0.1;9375;134;4
A173-P130-R5-B8-L5-T14-C0.1;4363;134;9
A173-P130-R5-B8-L5-T14-C0.1;2499;134;13
A173-P130-R5-B8-L5-T14-C0.1;2877;134;7
A173-P130-R5-B8-L5-T14-C0.1;5989;134;6
A173-P130-R5-B8-L5-T14-C0.1;1850;134;5
A173-P130-R5-B8-L5-T14-C0.1;5917;134;5
A173-P130-R5-B8-L5-T14-C0.1;7847;134;5
A173-P130-R5-B8-L5-T14-C0.2;8355;21;7
A173-P130-R5-B8-L5-T14-C0.2;3717;21;5
A173-P130-R5-B8-L5-T14-C0.2;5877;21;6
A173-P130-R5-B8-L5-T14-C0.2;2829;21;4
A173-P130-R5-B8-L5-T14-C0.2;2339;21;4
A173-P130-R5-B8-L5-T14-C0.2;9845;21;6
A173-P130-R5-B8-L5-T14-C0.2;233;21;5
A173-P130-R5-B8-L5-T14-C0.2;4263;21;4
A173-P130-R5-B8-L5-T14-C0.2;2618;21;6
A173-P130-R5-B8-L5-T14-C0.2;9965;21;5
A173-P130-R5-B8-L5-T14-C0.2;1624;21;4
A173-P130-R5-B8-L5-T14-C0.2;5707;21;4
A173-P130-R5-B8-L5-T14-C0.2;2842;21;4
A173-P130-R5-B8-L5-T14-C0.2;130;21;5
A173-P130-R5-B8-L5-T14-C0.2;252;21;6
A173-P130-R5-B8-L5-T14-C0.2;9914;21;5
A173-P130-R5-B8-L5-T14-C0.2;8323;21;5
A173-P130-R5-B8-L5-T14-C0.2;9375;21;6
A173-P130-R5-B8-L5-T14-C0.2;4363;21;7
