INSTANCE; Z; LOWER; GAP; TIME [s]; STATUS;HEU Z
A173-P130-R5-B8-L5-T14-C0.3;37;36;0.03;3619;TIME2;36
A173-P150-R7-B6-L5-T14-C0.2;;;;3600;TIME2;42
A173-P170-R6-B9-L4-T14-C0.3;139;139;0;2541;OPTIMAL;139
A173-P130-R7-B6-L5-T14-C0.2;30;30;0;2184;OPTIMAL;30
A173-P150-R6-B9-L4-T14-C0.2;261;261;0;2095;OPTIMAL;261
A173-P170-R7-B6-L5-T14-C0.2;30;30;0;1655;OPTIMAL;30
A173-P150-R6-B7-L5-T14-C0.2;166;166;0;1498;OPTIMAL;166
A173-P130-R6-B9-L4-T14-C0.3;61;61;0;1448;OPTIMAL;61
A173-P130-R5-B9-L5-T14-C0.3;33;33;0;1289;OPTIMAL;33
A173-P170-R5-B9-L5-T14-C0.3;89;89;0;1248;OPTIMAL;89
A173-P170-R6-B7-L5-T14-C0.2;52;52;0;1067;OPTIMAL;52
A173-P130-R7-B8-L4-T14-C0.2;;;;905;TIME;28
A173-P170-R6-B7-L5-T14-C0.1;30;21;30;903;TIME ;21
A173-P150-R7-B8-L4-T14-C0.2;;;;903;TIME;61
A173-P150-R5-B9-L5-T14-C0.2;199;162;18.6;902;TIME ;162
A173-P150-R6-B7-L5-T14-C0.2;;166;;902;TIME ;166
A173-P170-R5-B9-L5-T14-C0.3;;;;901;TIME ;89
A173-P170-R7-B6-L5-T14-C0.2;;;;901;TIME;30
A173-P130-R6-B9-L4-T14-C0.2;35;33;0.06;901;TIME;33
A173-P170-R6-B9-L4-T14-C0.3;;;;901;TIME;139
A173-P170-R7-B7-L4-T14-C0.3;;;;901;TIME;0
A173-P170-R7-B8-L4-T14-C0.2;;;;901;TIME;60
A173-P170-R6-B8-L4-T14-C0.3;;;;901;TIME;0
A173-P150-R7-B8-L4-T14-C0.3;;;;901; INFEASIBLE;12086
A173-P130-R5-B8-L5-T14-C0.1;176;134;;900;TIME ;134
A173-P130-R6-B7-L5-T14-C0.2;17;15;11.8;900;TIME ;15
A173-P130-R5-B9-L5-T14-C0.2;34;26;23.5;900;TIME ;26
A173-P150-R5-B8-L5-T14-C0.2;58;52;10.3;900;TIME ;52
A173-P130-R6-B7-L5-T14-C0.1;6;5;16.7;900;TIME;5
A173-P150-R7-B6-L5-T14-C0.1;16;15;0.06;900;TIME;15
A173-P130-R5-B8-L5-T14-C0.3;;;;900;TIME;36
A173-P130-R5-B9-L5-T14-C0.3;;33;;900;TIME;33
A173-P130-R7-B6-L5-T14-C0.2;;;;900;TIME;30
A173-P130-R6-B9-L4-T14-C0.3;;;;900;TIME;61
A173-P130-R7-B8-L4-T14-C0.1;;;;900;TIME;182
A173-P130-R7-B8-L4-T14-C0.3;;;;900;TIME;48
A173-P170-R6-B7-L5-T14-C0.2;;52;;900;TIME;52
A173-P170-R6-B9-L4-T14-C0.2;194;175;0.1;900;TIME;175
A173-P150-R6-B9-L4-T14-C0.2;;;;900;TIME;261
A173-P150-R7-B6-L5-T14-C0.2;;;;900;TIME;42
A173-P130-R5-B8-L5-T14-C0.2;22;21;;900;MISSING INFO;21
A173-P170-R5-B9-L5-T14-C0.2;123;123;0;866;OPTIMAL;123
A173-P170-R5-B8-L5-T14-C0.2;41;41;0;834;OPTIMAL;41
A173-P170-R7-B6-L5-T14-C0.3;;;;799; INFEASIBLE;5043
A173-P150-R6-B8-L4-T14-C0.3;;;;797; INFEASIBLE;0
A173-P170-R7-B8-L4-T14-C0.3;;;;785; INFEASIBLE;8045
A173-P150-R6-B9-L4-T14-C0.3;;;;769; INFEASIBLE;8152
A173-P150-R5-B8-L5-T14-C0.3;;;;734; INFESIBLE;10064
A173-P130-R7-B7-L4-T14-C0.3;;;;705; INFEASIBLE;0
A173-P150-R7-B6-L5-T14-C0.3;;;;686; INFEASIBLE;10121
A173-P170-R6-B7-L5-T14-C0.3;;;;681; INFEASIBLE;10032
A173-P170-R7-B8-L4-T14-C0.1;35;35;0;673;OPTIMAL;35
A173-P150-R7-B7-L4-T14-C0.3;;;;655; INFEASIBLE;0
A173-P170-R5-B8-L5-T14-C0.3;;;;639; INFEASIBLE;10063
A173-P150-R5-B9-L5-T14-C0.3;;;;637; INFEASIBLE;10098
A173-P170-R6-B9-L4-T14-C0.1;76;76;0;632;OPTIMAL;76
A173-P130-R7-B6-L5-T14-C0.1;24;24;0;629;OPTIMAL;24
A173-P170-R5-B8-L5-T14-C0.1;40;40;0;611;OPTIMAL;40
A173-P150-R6-B9-L4-T14-C0.1;32;32;0;600;OPTIMAL;32
A173-P150-R6-B7-L5-T14-C0.3;;;;599; INFEASIBLE;10102
A173-P130-R7-B6-L5-T14-C0.3;;;;595; INFEASIBLE;5012
A173-P130-R6-B8-L4-T14-C0.3;;;;564; INFEASIBLE;0
A173-P130-R6-B7-L5-T14-C0.3;;;;486; INFEASIBLE;5039
A173-P130-R6-B9-L4-T14-C0.1;175;175;0;485;OPTIMAL;175
A173-P170-R7-B6-L5-T14-C0.1;119;119;0;417;OPTIMAL;119
A173-P150-R7-B8-L4-T14-C0.1;36;36;0;409;OPTIMAL;36
A173-P150-R5-B8-L5-T14-C0.1;17;17;0;403;OPTIMAL;17
A173-P150-R6-B7-L5-T14-C0.1;37;37;0;396;OPTIMAL;37
A173-P150-R6-B7-L5-T14-C0.1;37;37;0;385;OPTIMAL;37
A173-P150-R6-B7-L5-T14-C0.1;37;37;0;367;OPTIMAL;37
A173-P130-R6-B8-L4-T14-C0.2;;;;356; INFEASIBLE;0
A173-P170-R5-B9-L5-T14-C0.1;66;66;0;323;OPTIMAL;66
